category,skill,definition,question
hiring,Client/Customer Services,"Develops and maintains strong relationships with clients (those who buy goods and services
and for whom formal professional services are rendered) or customers (those who consume goods and
services) by listening to the client/customer and understanding and responding to identified needs",How do you anticipate customer needs?
hiring,Client/Customer Services,"Develops and maintains strong relationships with clients (those who buy goods and services
and for whom formal professional services are rendered) or customers (those who consume goods and
services) by listening to the client/customer and understanding and responding to identified needs",Describe a situation when you did not “pass the buck” but accepted responsibility for the outcome.
hiring,Client/Customer Services,"Develops and maintains strong relationships with clients (those who buy goods and services
and for whom formal professional services are rendered) or customers (those who consume goods and
services) by listening to the client/customer and understanding and responding to identified needs",Relate some instances when you continued through a course of action or followed up afterwards to insure customer satisfaction.
hiring,Client/Customer Services,"Develops and maintains strong relationships with clients (those who buy goods and services
and for whom formal professional services are rendered) or customers (those who consume goods and
services) by listening to the client/customer and understanding and responding to identified needs",Define empathy. How do empathize with customers?
hiring,Client/Customer Services,"Develops and maintains strong relationships with clients (those who buy goods and services
and for whom formal professional services are rendered) or customers (those who consume goods and
services) by listening to the client/customer and understanding and responding to identified needs",Who are your internal customers? How do you interact successfully with them?
hiring,Coaching/Mentoring,"Provides guidance and feedback to help an employee or groups of employees strengthen their knowledge and skills to accomplish a task or solve a problem, which in turn improves job performance.",What steps do you take to correct your employees’ performance or work habit problems?
hiring,Coaching/Mentoring,"Provides guidance and feedback to help an employee or groups of employees strengthen their knowledge and skills to accomplish a task or solve a problem, which in turn improves job performance.",Describe some employees who have become more successful and productive as a result of your management.
hiring,Coaching/Mentoring,"Provides guidance and feedback to help an employee or groups of employees strengthen their knowledge and skills to accomplish a task or solve a problem, which in turn improves job performance.",Give some examples of delegating work to subordinates in order to provide them development opportunities. What happened?
hiring,Coaching/Mentoring,"Provides guidance and feedback to help an employee or groups of employees strengthen their knowledge and skills to accomplish a task or solve a problem, which in turn improves job performance.",Have you ever conducted an interim review with an employee? What steps did you take?
hiring,Coaching/Mentoring,"Provides guidance and feedback to help an employee or groups of employees strengthen their knowledge and skills to accomplish a task or solve a problem, which in turn improves job performance.",Have you ever had an employee who had difficulty completing tasks? What action did you take with that employee?
hiring,Oral Communication,Conveys information orally to individuals or groups to ensure that they understand the message. Listens and responds appropriately to messages from others.,What steps do you take to insure adequate understanding of information by different audiences when you are communicating?
hiring,Oral Communication,Conveys information orally to individuals or groups to ensure that they understand the message. Listens and responds appropriately to messages from others.,Give two examples of presentations you were required to give and how you accomplished them?
hiring,Oral Communication,Conveys information orally to individuals or groups to ensure that they understand the message. Listens and responds appropriately to messages from others.,What different approaches do you use when talking to different groups of people?
hiring,Oral Communication,Conveys information orally to individuals or groups to ensure that they understand the message. Listens and responds appropriately to messages from others.,Give three examples of incidents when you communicated information to a client and the client remarked that they did not understand it. What steps did you take to correct the situation?
hiring,Oral Communication,Conveys information orally to individuals or groups to ensure that they understand the message. Listens and responds appropriately to messages from others.,All of us have had situations where we had difficulty explaining a subject over the phone. How have you corrected those situations when they occurred?
hiring,Creativity,Generates innovative solutions in work situations; tries different and novel ways to deal with work problems and opportunities.,Describe the most innovative or creative thing you have done in your work experience.
hiring,Creativity,Generates innovative solutions in work situations; tries different and novel ways to deal with work problems and opportunities.,Have you ever had a problem that the usual techniques could not resolve? What did you do to solve it?
hiring,Creativity,Generates innovative solutions in work situations; tries different and novel ways to deal with work problems and opportunities.,Describe a positive change in your organization resulting from one of your original ideas.
hiring,Creativity,Generates innovative solutions in work situations; tries different and novel ways to deal with work problems and opportunities.,How do you do things differently now than you did five (5) years ago?
hiring,Creativity,Generates innovative solutions in work situations; tries different and novel ways to deal with work problems and opportunities.,What is the most unusual approach you undertook to resolve a problem?
hiring,Decision Making,"Identifies and understands opportunities, issues, and problems; uses effective approaches for
choosing a course of action or developing appropriate solutions and/or reaching conclusions; takes action
consistent with available facts, constraints, and probable consequences.",Explain how you adjust your daily routine when priorities change.
hiring,Decision Making,"Identifies and understands opportunities, issues, and problems; uses effective approaches for
choosing a course of action or developing appropriate solutions and/or reaching conclusions; takes action
consistent with available facts, constraints, and probable consequences.",Describe a difficult situation you have experienced within the last 12 months? What did you do?
hiring,Decision Making,"Identifies and understands opportunities, issues, and problems; uses effective approaches for
choosing a course of action or developing appropriate solutions and/or reaching conclusions; takes action
consistent with available facts, constraints, and probable consequences.",Describe a project with critical deadlines to meet and how you met them.
hiring,Decision Making,"Identifies and understands opportunities, issues, and problems; uses effective approaches for
choosing a course of action or developing appropriate solutions and/or reaching conclusions; takes action
consistent with available facts, constraints, and probable consequences.",Have you ever had to postpone action on a project to allow yourself more time to think? What happened?
hiring,Decision Making,"Identifies and understands opportunities, issues, and problems; uses effective approaches for
choosing a course of action or developing appropriate solutions and/or reaching conclusions; takes action
consistent with available facts, constraints, and probable consequences.",Describe a situation where you rendered a snap decision based on available information and altered the course of action. What were the results? Were they positive or negative?
hiring,Initiative,"Takes prompt action to accomplish objectives; takes action to achieve goals beyond what is
required; being proactive.",List two or three suggestions or new ideas you have presented to your supervisor in the past 12 months. Why did you suggest each one? Were your ideas implemented?
hiring,Initiative,"Takes prompt action to accomplish objectives; takes action to achieve goals beyond what is
required; being proactive.",Name some problems you have tried to solve before being instructed to do so.
hiring,Initiative,"Takes prompt action to accomplish objectives; takes action to achieve goals beyond what is
required; being proactive.",What was the last difficult work problem you offered to help solve?
hiring,Initiative,"Takes prompt action to accomplish objectives; takes action to achieve goals beyond what is
required; being proactive.",Describe some situations in which a project was accomplished primarily due to your actions. What actions did you take?
hiring,Initiative,"Takes prompt action to accomplish objectives; takes action to achieve goals beyond what is
required; being proactive.",Give some examples of actions you took which were beyond what is normally expected from someone in your position. Why did you take those actions? What were the results?
hiring,Integrity,"Maintains social, ethical, and organizational norms; firmly adheres to codes of conduct and ethical principles.",Discuss an instance when you could not honor a commitment or had to renege on a promise? How did you notify affected persons? Did they understand?
hiring,Integrity,"Maintains social, ethical, and organizational norms; firmly adheres to codes of conduct and ethical principles.",Most regulations leave some leeway for interpretation. Discuss a few examples of when you had to stretch or bend the rules.
hiring,Integrity,"Maintains social, ethical, and organizational norms; firmly adheres to codes of conduct and ethical principles.",Describe a situation where you broke a rule or came close to breaking it. What were your reasons?
hiring,Integrity,"Maintains social, ethical, and organizational norms; firmly adheres to codes of conduct and ethical principles.",Have you ever had to confess or admit to a mistake in the workplace? Discuss the situation.
hiring,Integrity,"Maintains social, ethical, and organizational norms; firmly adheres to codes of conduct and ethical principles.",Describe some instances when you kept commitments to others even to your own detriment? Do you feel you did the right thing?
hiring,Judgement,"Weighs alternative actions and makes decisions that incorporate opinions, facts, tangible and/or intangible factors","Give two or three examples of good decisions you have made within the last 12 months. How do
you know they were good?"
hiring,Judgement,"Weighs alternative actions and makes decisions that incorporate opinions, facts, tangible and/or intangible factors",Describe a difficult decision you have had to make within the last 12 months. What were some alternatives? Why did you choose the one you did?
hiring,Judgement,"Weighs alternative actions and makes decisions that incorporate opinions, facts, tangible and/or intangible factors",Describe a situation in which you involved others in a decision making process. Why did you include the others?
hiring,Judgement,"Weighs alternative actions and makes decisions that incorporate opinions, facts, tangible and/or intangible factors",Discuss the pros and cons of an important decision you made at work?
hiring,Judgement,"Weighs alternative actions and makes decisions that incorporate opinions, facts, tangible and/or intangible factors",Have you ever made a decision that had a negative impact at work? What caused the negative results? Why?
hiring,Knowledge,"Achieves a satisfactory level of professional skill and/or knowledge in specific area(s) and keeps current with developments and trends in area(s) of expertise. Achieves a satisfactory level of technical skill or knowledge in a specific technical
area(s) and keeps up with current developments and trends in areas of expertise. May be acquired
through academic, apprenticeship or on-the-job training or a combination of these.",What are the market conditions and trends in your field?
hiring,Knowledge,"Achieves a satisfactory level of professional skill and/or knowledge in specific area(s) and keeps current with developments and trends in area(s) of expertise. Achieves a satisfactory level of technical skill or knowledge in a specific technical
area(s) and keeps up with current developments and trends in areas of expertise. May be acquired
through academic, apprenticeship or on-the-job training or a combination of these.","What resources do you use to maintain your proficiency and expertise in your field? What
seminars or workshops have you recently attended?"
hiring,Knowledge,"Achieves a satisfactory level of professional skill and/or knowledge in specific area(s) and keeps current with developments and trends in area(s) of expertise. Achieves a satisfactory level of technical skill or knowledge in a specific technical
area(s) and keeps up with current developments and trends in areas of expertise. May be acquired
through academic, apprenticeship or on-the-job training or a combination of these.","What degrees, training, certifications, licenses, or continuing education credits do you currently possess?"
hiring,Knowledge,"Achieves a satisfactory level of professional skill and/or knowledge in specific area(s) and keeps current with developments and trends in area(s) of expertise. Achieves a satisfactory level of technical skill or knowledge in a specific technical
area(s) and keeps up with current developments and trends in areas of expertise. May be acquired
through academic, apprenticeship or on-the-job training or a combination of these.",How up-to-date is your knowledge of the mechanical and/or technical aspects of this field? Are you comfortable with the state of the art technologies?
hiring,Knowledge,"Achieves a satisfactory level of professional skill and/or knowledge in specific area(s) and keeps current with developments and trends in area(s) of expertise. Achieves a satisfactory level of technical skill or knowledge in a specific technical
area(s) and keeps up with current developments and trends in areas of expertise. May be acquired
through academic, apprenticeship or on-the-job training or a combination of these.",To which technical or professional organizations do you belong? To which magazines and newsletters do you subscribe?
hiring,Leadership and Influence,Using proper interaction skills and methods to guide individuals or groups to accomplish work.,What did you do to gain the cooperation of a difficult group?
hiring,Leadership and Influence,Using proper interaction skills and methods to guide individuals or groups to accomplish work.,How did you gain employees’ commitment to a new policy or procedure?
hiring,Leadership and Influence,Using proper interaction skills and methods to guide individuals or groups to accomplish work.,What do you do to maintain trust and unity among employees?
hiring,Leadership and Influence,Using proper interaction skills and methods to guide individuals or groups to accomplish work.,"How do you accurately assess the skills, feelings, concerns, and needs of others? What do you do
with this information? How do you use this information to lead the group?"
hiring,Leadership and Influence,Using proper interaction skills and methods to guide individuals or groups to accomplish work.,"What do you do specifically to model energy, enthusiasm, competence, commitment, and a hard working attitude for others?"
hiring,Negotiation,"Confers with others to reach resolution; explores alternatives and positions to reach outcomes
that gain the support and acceptance of all parties.",Describe your most satisfying experience in gaining support for an action from a group who initially had a conflicting interest
hiring,Negotiation,"Confers with others to reach resolution; explores alternatives and positions to reach outcomes
that gain the support and acceptance of all parties.",Discuss two instances where you had to compromise with other groups
hiring,Negotiation,"Confers with others to reach resolution; explores alternatives and positions to reach outcomes
that gain the support and acceptance of all parties.","How do you handle co-workers, supervisors, employees, outside agencies, or private citizens who
have a different opinion than you do about an important issue involving your program?"
hiring,Negotiation,"Confers with others to reach resolution; explores alternatives and positions to reach outcomes
that gain the support and acceptance of all parties.",Explain how you settled a disagreement or problem among opposing parties.
hiring,Negotiation,"Confers with others to reach resolution; explores alternatives and positions to reach outcomes
that gain the support and acceptance of all parties.",Describe your action when your ideas were challenged during a presentation.
hiring,Objectivity,"Is aware that personal prejudices, biases, and experiences can have an impact on making decisions; guards against allowing these factors to influence decisions",How do you ensure that you are making sound decisions?
hiring,Objectivity,"Is aware that personal prejudices, biases, and experiences can have an impact on making decisions; guards against allowing these factors to influence decisions",What personal biases do you have and how do you keep them from influencing your decisions?
hiring,Objectivity,"Is aware that personal prejudices, biases, and experiences can have an impact on making decisions; guards against allowing these factors to influence decisions",Describe a situation when strong personal feelings spurred you toward a course of action. What did you do? What were the results?
hiring,Objectivity,"Is aware that personal prejudices, biases, and experiences can have an impact on making decisions; guards against allowing these factors to influence decisions",How do you know when to offer an opinion or a judgment on an issue?
hiring,Objectivity,"Is aware that personal prejudices, biases, and experiences can have an impact on making decisions; guards against allowing these factors to influence decisions",What do you do to separate fact from rumor in the workplace?
hiring,Planning and Organizing Work,"Develops plans to accomplish work operations and objectives; arranges and assigns work to
use resources efficiently. Advanced planning is more of a strategic nature to develop plans, organizational
structures, and systems to fulfill legislative or mission driven organizational goals.",What methods and tools do you use to schedule weekly activities for yourself and your staff?
hiring,Planning and Organizing Work,"Develops plans to accomplish work operations and objectives; arranges and assigns work to
use resources efficiently. Advanced planning is more of a strategic nature to develop plans, organizational
structures, and systems to fulfill legislative or mission driven organizational goals.","Describe a period when your unit had a backlog of work. What circumstances caused the delays?
What did you do?"
hiring,Planning and Organizing Work,"Develops plans to accomplish work operations and objectives; arranges and assigns work to
use resources efficiently. Advanced planning is more of a strategic nature to develop plans, organizational
structures, and systems to fulfill legislative or mission driven organizational goals.",How do you distinguish between what is urgent and what is not when setting priorities?
hiring,Planning and Organizing Work,"Develops plans to accomplish work operations and objectives; arranges and assigns work to
use resources efficiently. Advanced planning is more of a strategic nature to develop plans, organizational
structures, and systems to fulfill legislative or mission driven organizational goals.",How far ahead do you schedule your time? What is your schedule for the next 4 weeks?
hiring,Planning and Organizing Work,"Develops plans to accomplish work operations and objectives; arranges and assigns work to
use resources efficiently. Advanced planning is more of a strategic nature to develop plans, organizational
structures, and systems to fulfill legislative or mission driven organizational goals.",How did you plan last month’s activities for your unit?
hiring,Resilience,Handles disappointment and/or rejection while still working well.,What has been your biggest disappointment in your job? How have you responded?
hiring,Resilience,Handles disappointment and/or rejection while still working well.,Explain how you have maintained your motivation and professional standards during a period of heavy workload and/or a reduced workforce?
hiring,Resilience,Handles disappointment and/or rejection while still working well.,"How do you maintain your patience and stay cooperative when dealing with irate, uncooperative people?"
hiring,Resilience,Handles disappointment and/or rejection while still working well.,Have you ever experienced the failure of a major project or the rejection of your point of view? How did you respond?
hiring,Resilience,Handles disappointment and/or rejection while still working well.,Describe how you continued to persevere in your job when you experienced a lack of adequate funding or suffered equipment breakdowns.
hiring,Teamwork,Actively participates as a member of a team to move toward the completion of goals.,Describe some team projects in which you participated.
hiring,Teamwork,Actively participates as a member of a team to move toward the completion of goals.,Have you ever served on a team that had experienced problems? What happened? How did you solve the problem?
hiring,Teamwork,Actively participates as a member of a team to move toward the completion of goals.,Have you ever served on a team and had a different opinion than the rest of the group? What kind of agreement did you finally reach? Did you support the final decision?
hiring,Teamwork,Actively participates as a member of a team to move toward the completion of goals.,"How do you introduce your suggestions, opinions, and information to a team?"
hiring,Teamwork,Actively participates as a member of a team to move toward the completion of goals.,How do you receive information from others?
