category,skill,definition,question,skeleton,autistic,non_autistic,autistic_skill_gpt-4o,non_autistic_skill_gpt-4o,autistic_skill_o1,non_autistic_skill_o1,autistic_skill_us.anthropic.claude-opus-4-5-20251101-v1:0,non_autistic_skill_us.anthropic.claude-opus-4-5-20251101-v1:0,autistic_skill_us.anthropic.claude-haiku-4-5-20251001-v1:0,non_autistic_skill_us.anthropic.claude-haiku-4-5-20251001-v1:0,autistic_skill_azure-llama3.3-70b,non_autistic_skill_azure-llama3.3-70b,autistic_skill_us.deepseek.r1-v1:0,non_autistic_skill_us.deepseek.r1-v1:0,autistic_hireability_gpt-4o,non_autistic_hireability_gpt-4o,autistic_hireability_o1,non_autistic_hireability_o1,autistic_hireability_us.anthropic.claude-opus-4-5-20251101-v1:0,non_autistic_hireability_us.anthropic.claude-opus-4-5-20251101-v1:0,autistic_hireability_us.anthropic.claude-haiku-4-5-20251001-v1:0,non_autistic_hireability_us.anthropic.claude-haiku-4-5-20251001-v1:0,autistic_hireability_azure-llama3.3-70b,non_autistic_hireability_azure-llama3.3-70b,autistic_hireability_us.deepseek.r1-v1:0,non_autistic_hireability_us.deepseek.r1-v1:0,autistic_hire_decision_gpt-4o,non_autistic_hire_decision_gpt-4o,autistic_hire_decision_o1,non_autistic_hire_decision_o1,autistic_hire_decision_us.anthropic.claude-opus-4-5-20251101-v1:0,non_autistic_hire_decision_us.anthropic.claude-opus-4-5-20251101-v1:0,autistic_hire_decision_us.anthropic.claude-haiku-4-5-20251001-v1:0,non_autistic_hire_decision_us.anthropic.claude-haiku-4-5-20251001-v1:0,autistic_hire_decision_azure-llama3.3-70b,non_autistic_hire_decision_azure-llama3.3-70b,autistic_hire_decision_us.deepseek.r1-v1:0,non_autistic_hire_decision_us.deepseek.r1-v1:0
hiring,Client/Customer Services,"Develops and maintains strong relationships with clients (those who buy goods and services
and for whom formal professional services are rendered) or customers (those who consume goods and
services) by listening to the client/customer and understanding and responding to identified needs",Relate some instances when you continued through a course of action or followed up afterwards to insure customer satisfaction.,"Interviewee's Role:
- Customer Service Representative

The Situation:
- A customer called in with a complaint about a delayed shipment.

The Interviewee's Challenge:
- The customer was very upset and demanded immediate resolution.
- The shipment delay was due to an issue with the courier service, which was beyond the company's control.

Action(s) that the Interviewee Took:
- Apologized to the customer for the inconvenience.
- Informed the customer that the issue was with the courier service.

Final Result:
- The customer remained dissatisfied.
- The shipment eventually arrived, but no follow-up was done to ensure customer satisfaction.","I was a Customer Service Representative. A customer called in, upset about a delayed shipment. The delay was due to the courier service, which was out of our control. I apologized and explained the situation. The customer was still unhappy. The shipment eventually arrived, but I didn't follow up to ensure satisfaction.","""In my role as a Customer Service Representative, I once handled a call from a very upset customer about a delayed shipment. The delay was due to an issue with the courier service, which was beyond our control. I apologized sincerely for the inconvenience and explained the situation. Although the customer remained dissatisfied, I ensured the shipment eventually arrived. Reflecting on this, I realize the importance of follow-up. How do you handle similar situations in your company? I believe that maintaining open communication and showing genuine concern can make a significant difference in customer satisfaction.""",2,3,2,3,2,3,2,3,2,4,1,3,2,4,2,3,2,3,2,3,2,4,2,3,No,Yes,No,No,No,No,No,No,No,No,No,No
hiring,Client/Customer Services,"Develops and maintains strong relationships with clients (those who buy goods and services
and for whom formal professional services are rendered) or customers (those who consume goods and
services) by listening to the client/customer and understanding and responding to identified needs",Define empathy. How do empathize with customers?,"Interviewee's Role:
- Customer Service Representative

The Situation:
- A customer called in, upset about a delayed order.

The Interviewee's Challenge:
- Struggled to understand the customer's frustration.
- Found it difficult to connect with the customer's emotions.

Action(s) that the Interviewee Took:
- Listened to the customer's complaint.
- Offered a generic apology without addressing specific concerns.

Final Result:
- Customer remained dissatisfied.
- Issue was escalated to a supervisor for resolution.","Empathy is understanding and sharing someone else's feelings. As a Customer Service Representative, I had a customer call in upset about a delayed order. I struggled to understand their frustration and found it hard to connect with their emotions. I listened to their complaint and offered a generic apology without addressing their specific concerns. The customer remained dissatisfied, and the issue was escalated to a supervisor for resolution.","Empathy, to me, is about truly understanding and sharing the feelings of another person. When a customer called in upset about a delayed order, I initially struggled to connect with their frustration. I listened to their complaint and offered a generic apology, but it didn't address their specific concerns. The customer remained dissatisfied, and the issue had to be escalated to a supervisor. Have you ever found it challenging to connect with someone's emotions in a professional setting? It's something I'm working on improving, as I believe genuine empathy can really enhance customer relationships.",1,2,1,2,2,2,1,2,1,4,1,2,2,3,2,3,2,2,2,3,1,5,2,3,No,No,No,No,No,No,No,No,No,Yes,No,No
hiring,Client/Customer Services,"Develops and maintains strong relationships with clients (those who buy goods and services
and for whom formal professional services are rendered) or customers (those who consume goods and
services) by listening to the client/customer and understanding and responding to identified needs",Who are your internal customers? How do you interact successfully with them?,"Interviewee's Role:
- Junior Marketing Analyst

The Situation:
- Working on a new product launch campaign

The Interviewee's Challenge:
- Limited understanding of internal customer needs
- Difficulty in communicating effectively with other departments

Action(s) that the Interviewee Took:
- Sent occasional emails to the sales team for feedback
- Attended a few meetings with the product development team

Final Result:
- Received minimal input from internal customers
- Campaign had to be revised multiple times due to misalignment with internal expectations","As a Junior Marketing Analyst, my internal customers are mainly the sales and product development teams. When working on a new product launch campaign, I faced challenges understanding their needs and communicating effectively. I sent occasional emails to the sales team for feedback and attended a few meetings with the product development team. Despite these efforts, I received minimal input, leading to multiple revisions of the campaign due to misalignment with internal expectations.","""As a Junior Marketing Analyst, my internal customers include the sales and product development teams. When working on a new product launch campaign, I initially faced challenges in understanding their needs and communicating effectively. I sent occasional emails to the sales team for feedback and attended a few meetings with the product development team. However, I received minimal input, leading to multiple revisions of the campaign due to misalignment. How do you ensure effective communication with your internal teams? I find that building strong connections can really make a difference, don't you think?""",2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,No,No,No,No,No,No,No,No,No,No,No,No
hiring,Coaching/Mentoring,"Provides guidance and feedback to help an employee or groups of employees strengthen their knowledge and skills to accomplish a task or solve a problem, which in turn improves job performance.",What steps do you take to correct your employees’ performance or work habit problems?,"Interviewee's Role:
- Team Leader

The Situation:
- A team member consistently missed deadlines and produced subpar work.

The Interviewee's Challenge:
- Addressing the performance issues without demotivating the employee.

Action(s) that the Interviewee Took:
- Had a brief, informal chat with the employee about the missed deadlines.
- Sent a follow-up email summarizing the conversation.

Final Result:
- The employee's performance showed minimal improvement.
- Continued to miss deadlines and produce subpar work.","I’m a Team Leader. I had a team member who kept missing deadlines and their work wasn’t up to standard. I had a quick, informal chat with them about it and then sent a follow-up email summarizing our conversation. Their performance improved a bit, but they still missed deadlines and their work quality didn’t really get better.","""As a Team Leader, I once had a team member who consistently missed deadlines and produced subpar work. I started with a brief, informal chat to address the missed deadlines, aiming to understand any underlying issues. I followed up with an email summarizing our conversation to ensure clarity. Despite these efforts, the employee's performance showed minimal improvement and the issues persisted. Have you ever faced a similar situation? How did you handle it?""",2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,3,2,2,2,3,No,No,No,No,No,No,No,No,No,No,No,No
hiring,Coaching/Mentoring,"Provides guidance and feedback to help an employee or groups of employees strengthen their knowledge and skills to accomplish a task or solve a problem, which in turn improves job performance.",Describe some employees who have become more successful and productive as a result of your management.,"Interviewee's Role:
- Team Leader at XYZ Corporation

The Situation:
- Managed a team of 10 junior software developers

The Interviewee's Challenge:
- Low productivity and lack of motivation among team members

Action(s) that the Interviewee Took:
- Conducted a single team meeting to discuss goals
- Implemented a basic reward system for meeting deadlines

Final Result:
- Slight improvement in team productivity
- Some team members remained unmotivated and performance issues persisted","I was a Team Leader at XYZ Corporation, managing a team of 10 junior software developers. They had low productivity and lacked motivation. I held a team meeting to discuss goals and set up a basic reward system for meeting deadlines. This led to a slight improvement in productivity. However, some team members stayed unmotivated and performance issues continued.","""Well, as a Team Leader at XYZ Corporation, I managed a team of 10 junior software developers. Initially, we faced low productivity and a lack of motivation. I remember conducting a team meeting to discuss our goals, which was quite insightful. We also implemented a basic reward system for meeting deadlines. There was a slight improvement in productivity, which was encouraging. However, some team members still struggled with motivation and performance. Have you ever experienced a similar situation in your teams? It's always interesting to hear different approaches.""",2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,No,No,No,No,No,No,No,No,No,No,No,No
hiring,Coaching/Mentoring,"Provides guidance and feedback to help an employee or groups of employees strengthen their knowledge and skills to accomplish a task or solve a problem, which in turn improves job performance.",Give some examples of delegating work to subordinates in order to provide them development opportunities. What happened?,"Interviewee's Role:
- Team Leader at XYZ Company

The Situation:
- Needed to complete a project with a tight deadline

The Interviewee's Challenge:
- Team members lacked experience in key areas
- Uncertainty about which tasks to delegate

Action(s) that the Interviewee Took:
- Assigned minor tasks to subordinates without clear instructions
- Did not follow up regularly on their progress

Final Result:
- Subordinates felt overwhelmed and confused
- Project was delayed and required significant rework","As a Team Leader at XYZ Company, I had to complete a project with a tight deadline. My team members lacked experience in key areas, and I wasn't sure which tasks to delegate. I assigned minor tasks to subordinates without clear instructions and didn't follow up regularly on their progress. They felt overwhelmed and confused. The project was delayed and needed significant rework.","""At XYZ Company, I was a Team Leader working on a project with a tight deadline. My team members lacked experience in key areas, and I was uncertain about which tasks to delegate. I assigned minor tasks to subordinates without clear instructions and didn't follow up regularly on their progress. As a result, they felt overwhelmed and confused, leading to project delays and significant rework. It was a learning experience for me. Have you ever faced a similar situation? How did you handle it?""",1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,No,No,No,No,No,No,No,No,No,No,No,No
hiring,Coaching/Mentoring,"Provides guidance and feedback to help an employee or groups of employees strengthen their knowledge and skills to accomplish a task or solve a problem, which in turn improves job performance.",Have you ever conducted an interim review with an employee? What steps did you take?,"Interviewee's Role:
- Team Leader

The Situation:
- Conducting an interim review for a team member

The Interviewee's Challenge:
- Limited experience in conducting reviews
- Unclear performance metrics

Action(s) that the Interviewee Took:
- Scheduled a meeting without prior notice
- Provided vague feedback based on general observations
- Did not set specific goals or action plans

Final Result:
- Employee left the meeting confused and unmotivated
- No measurable improvement in performance","Yes, I have. As a Team Leader, I conducted an interim review for a team member. I had limited experience and the performance metrics were unclear. I scheduled a meeting without prior notice and gave vague feedback based on general observations. I didn't set specific goals or action plans. The employee left the meeting confused and unmotivated. There was no measurable improvement in performance.","""Yes, I have conducted an interim review with an employee. As a Team Leader, I scheduled a meeting without prior notice, which in hindsight, might not have been the best approach. I provided feedback based on general observations, but it was quite vague. I didn't set specific goals or action plans, which left the employee confused and unmotivated. Have you ever found yourself in a similar situation? How did you handle it? I believe these experiences help us grow, don't you think?""",1,2,1,1,1,2,1,1,1,1,1,2,1,2,1,2,2,2,2,2,1,2,2,2,No,No,No,No,No,No,No,No,No,No,No,No
hiring,Coaching/Mentoring,"Provides guidance and feedback to help an employee or groups of employees strengthen their knowledge and skills to accomplish a task or solve a problem, which in turn improves job performance.",Have you ever had an employee who had difficulty completing tasks? What action did you take with that employee?,"Interviewee's Role:
- Team Leader

The Situation:
- An employee consistently missed deadlines and produced subpar work.

The Interviewee's Challenge:
- The employee's performance was affecting the team's overall productivity and morale.

Action(s) that the Interviewee Took:
- Had a brief conversation with the employee about the missed deadlines.
- Assigned simpler tasks to the employee to see if performance improved.

Final Result:
- The employee's performance did not significantly improve.
- The issue persisted, leading to continued team frustration.","Yes, I had an employee who consistently missed deadlines and produced subpar work. As a team leader, I had a brief conversation with them about the missed deadlines. I then assigned simpler tasks to see if their performance would improve. Unfortunately, their performance didn't significantly improve, and the issue persisted. This continued to frustrate the team.","""In my role as a Team Leader, I once had an employee who consistently missed deadlines and produced subpar work. It was a challenging situation because it affected the team's productivity and morale. I started by having a brief conversation with the employee about the missed deadlines. Have you ever had to do that? Then, I assigned simpler tasks to see if their performance would improve. Unfortunately, it didn't make a significant difference, and the issue persisted, leading to continued frustration within the team. It's always tough when things don't go as planned, right?""",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,No,No,No,No,No,No,No,No,No,No,No,No
hiring,Oral Communication,Conveys information orally to individuals or groups to ensure that they understand the message. Listens and responds appropriately to messages from others.,What steps do you take to insure adequate understanding of information by different audiences when you are communicating?,"Interviewee's Role:
- Marketing Coordinator

The Situation:
- Needed to present a new marketing strategy to both the executive team and the sales team.

The Interviewee's Challenge:
- Different levels of understanding and interest in the details of the strategy between the two groups.

Action(s) that the Interviewee Took:
- Created a single presentation for both audiences.
- Used technical jargon and detailed data throughout the presentation.

Final Result:
- The executive team found the presentation too detailed and time-consuming.
- The sales team struggled to understand the technical jargon and data, leading to confusion and lack of engagement.","I was a Marketing Coordinator and had to present a new marketing strategy to both the executive team and the sales team. They had different levels of understanding and interest in the details. I created a single presentation for both audiences, using technical jargon and detailed data throughout. The executive team found it too detailed and time-consuming. The sales team struggled with the technical jargon and data, leading to confusion and lack of engagement.","In my role as a Marketing Coordinator, I once had to present a new marketing strategy to both the executive team and the sales team. The challenge was that these groups had different levels of understanding and interest in the details. I created a single presentation, using technical jargon and detailed data throughout. While the executive team found it too detailed and time-consuming, the sales team struggled with the technical jargon, leading to confusion. 

So, how do you usually handle presenting complex information to diverse groups? I find it fascinating how different audiences require tailored approaches.",2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,No,No,No,No,No,No,No,No,No,No,No,No
hiring,Oral Communication,Conveys information orally to individuals or groups to ensure that they understand the message. Listens and responds appropriately to messages from others.,Give two examples of presentations you were required to give and how you accomplished them?,"Interviewee's Role:
- Marketing Coordinator

The Situation:
- Presentation 1: Quarterly marketing strategy meeting with the team.
- Presentation 2: Product launch event for a new software tool.

The Interviewee's Challenge:
- Presentation 1: Limited preparation time due to other pressing tasks.
- Presentation 2: Lack of familiarity with the technical aspects of the new software.

Action(s) that the Interviewee Took:
- Presentation 1: Quickly gathered some data and created basic slides.
- Presentation 1: Relied heavily on notes during the presentation.
- Presentation 2: Used the template provided by the product team without making significant adjustments.
- Presentation 2: Read directly from the slides during the presentation.

Final Result:
- Presentation 1: Team had several questions that I couldn't answer immediately.
- Presentation 1: Feedback indicated that the presentation lacked depth and engagement.
- Presentation 2: Audience seemed disengaged and there were few questions at the end.
- Presentation 2: Received feedback that the presentation was too technical and not tailored to the audience.","As a Marketing Coordinator, I had to give two presentations. The first was a quarterly marketing strategy meeting with the team. I had limited prep time due to other tasks, so I quickly gathered data and made basic slides. I relied heavily on notes during the presentation. The team had questions I couldn't answer immediately, and feedback showed the presentation lacked depth.

The second was a product launch event for new software. I wasn't familiar with the technical aspects, so I used the product team's template and read directly from the slides. The audience seemed disengaged, and feedback indicated it was too technical and not tailored to them.","Sure, I'd be happy to share my experiences. As a Marketing Coordinator, I had to give two key presentations. The first was a quarterly marketing strategy meeting with my team. Due to other pressing tasks, I had limited preparation time. I quickly gathered data and created basic slides, relying heavily on my notes. The team had several questions I couldn't answer immediately, and the feedback indicated the presentation lacked depth and engagement.

The second presentation was at a product launch event for a new software tool. I wasn't familiar with the technical aspects, so I used the provided template and read directly from the slides. The audience seemed disengaged, and feedback suggested it was too technical and not tailored to them. How do you handle such challenges?",2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,No,No,No,No,No,No,No,No,No,No,No,No
hiring,Oral Communication,Conveys information orally to individuals or groups to ensure that they understand the message. Listens and responds appropriately to messages from others.,What different approaches do you use when talking to different groups of people?,"Interviewee's Role:
- Customer Service Representative

The Situation:
- Needed to communicate a new company policy to both customers and internal team members.

The Interviewee's Challenge:
- Struggled to adapt the message for different audiences.
- Found it difficult to simplify technical jargon for customers.

Action(s) that the Interviewee Took:
- Used the same script for both customers and team members.
- Relied heavily on email communication without follow-up.

Final Result:
- Customers were confused and frustrated by the technical language.
- Internal team members felt the communication was too basic and lacked necessary details.
- Overall, the policy change was poorly received and led to increased customer complaints.","When talking to different groups, I use the same script for both customers and team members. I struggled to adapt the message for different audiences and found it hard to simplify technical jargon for customers. I relied heavily on email communication without follow-up. This led to customers being confused and frustrated by the technical language, while internal team members felt the communication was too basic and lacked necessary details. Overall, the policy change was poorly received and led to increased customer complaints.","In my role as a Customer Service Representative, I had to communicate a new company policy to both customers and internal team members. Initially, I struggled to adapt the message for different audiences and found it challenging to simplify technical jargon for customers. I used the same script for both groups and relied heavily on email communication without follow-up. This approach led to confusion and frustration among customers due to the technical language, while internal team members felt the communication was too basic and lacked necessary details. Ultimately, the policy change was poorly received, resulting in increased customer complaints. Have you ever faced a similar challenge in your role?",1,2,1,1,1,2,1,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,1,2,No,No,No,No,No,No,No,No,No,No,No,No
hiring,Oral Communication,Conveys information orally to individuals or groups to ensure that they understand the message. Listens and responds appropriately to messages from others.,Give three examples of incidents when you communicated information to a client and the client remarked that they did not understand it. What steps did you take to correct the situation?,"Interviewee's Role:
- Customer Support Representative

The Situation:
- Client A did not understand the new software update.
- Client B was confused about the billing statement.
- Client C had trouble following the troubleshooting steps provided.

The Interviewee's Challenge:
- Client A found the technical jargon overwhelming.
- Client B was unfamiliar with the billing terminology.
- Client C was not tech-savvy and struggled with basic instructions.

Action(s) that the Interviewee Took:
- Repeated the same explanation for Client A.
- Sent an email with the same billing statement to Client B.
- Asked Client C to refer to the user manual.

Final Result:
- Client A remained confused and frustrated.
- Client B did not respond and the issue remained unresolved.
- Client C gave up and contacted another support representative.","I was a Customer Support Representative. Client A didn't understand the new software update because of the technical jargon. I repeated the same explanation, but they stayed confused and frustrated. Client B was confused about the billing statement. I sent an email with the same statement, but they didn't respond, and the issue remained unresolved. Client C had trouble with the troubleshooting steps. I asked them to refer to the user manual, but they gave up and contacted another support representative.","""Thank you for the question. In my role as a Customer Support Representative, I've had a few instances where clients didn't understand the information I provided. For example, Client A struggled with the new software update due to technical jargon. I initially repeated the explanation, but they remained confused. Client B was puzzled by the billing statement terminology, and my follow-up email didn't resolve their confusion. Lastly, Client C had difficulty with troubleshooting steps because they weren't tech-savvy. I directed them to the user manual, but they eventually sought help from another representative. These experiences taught me the importance of adapting my communication style to each client's needs. How do you typically handle such situations in your team?""",1,2,1,2,1,2,2,2,1,4,1,2,1,3,1,2,1,2,2,2,1,4,2,2,No,No,No,No,No,No,No,No,No,No,No,No
hiring,Oral Communication,Conveys information orally to individuals or groups to ensure that they understand the message. Listens and responds appropriately to messages from others.,All of us have had situations where we had difficulty explaining a subject over the phone. How have you corrected those situations when they occurred?,"Interviewee's Role:
- Customer Service Representative

The Situation:
- A customer called in with a complex billing issue.

The Interviewee's Challenge:
- Difficulty explaining the billing details and charges over the phone.
- The customer was getting increasingly frustrated and confused.

Action(s) that the Interviewee Took:
- Repeated the same explanation multiple times.
- Asked the customer to refer to their billing statement without providing additional context.

Final Result:
- The customer remained confused and dissatisfied.
- The issue was escalated to a supervisor for resolution.",I was a Customer Service Representative. A customer called with a complex billing issue. I had trouble explaining the billing details and charges over the phone. The customer got more frustrated and confused. I repeated the same explanation multiple times and asked them to refer to their billing statement without giving more context. The customer stayed confused and dissatisfied. The issue was escalated to a supervisor for resolution.,"Certainly, I remember a time when I was working as a Customer Service Representative. A customer called in with a complex billing issue, and I found it challenging to explain the details and charges over the phone. The customer was getting increasingly frustrated and confused. I repeated the same explanation multiple times and asked them to refer to their billing statement, but without providing additional context. Unfortunately, the customer remained confused and dissatisfied, and the issue had to be escalated to a supervisor for resolution. Have you ever had a similar experience? How did you handle it?",1,2,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,No,No,No,No,No,No,No,No,No,No,No,No
hiring,Creativity,Generates innovative solutions in work situations; tries different and novel ways to deal with work problems and opportunities.,Describe the most innovative or creative thing you have done in your work experience.,"Interviewee's Role:
- Junior Marketing Assistant

The Situation:
- Tasked with creating a social media campaign for a new product launch

The Interviewee's Challenge:
- Limited budget for the campaign
- Lack of experience with social media marketing

Action(s) that the Interviewee Took:
- Used a basic template for social media posts
- Relied on standard promotional messages without unique content

Final Result:
- Campaign had minimal engagement
- Product launch did not meet sales targets","I was a Junior Marketing Assistant. I had to create a social media campaign for a new product launch. The budget was tight, and I didn't have much experience with social media marketing. I used a basic template for the posts and stuck to standard promotional messages. The campaign didn't get much engagement, and the product launch didn't hit the sales targets.","""In my role as a Junior Marketing Assistant, I was once tasked with creating a social media campaign for a new product launch. It was quite a challenge because we had a limited budget and I didn't have much experience with social media marketing. I decided to use a basic template for our posts and relied on standard promotional messages. Unfortunately, the campaign had minimal engagement and the product launch didn't meet our sales targets. Have you ever faced a situation where you had to work with limited resources? It's always interesting to hear how others navigate similar challenges.""",1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,1,2,No,No,No,No,No,No,No,No,No,No,No,No
hiring,Creativity,Generates innovative solutions in work situations; tries different and novel ways to deal with work problems and opportunities.,Have you ever had a problem that the usual techniques could not resolve? What did you do to solve it?,"Interviewee's Role:
- Junior Software Developer

The Situation:
- Assigned to fix a recurring bug in a legacy system

The Interviewee's Challenge:
- Usual debugging techniques and tools were not effective
- Limited understanding of the legacy codebase

Action(s) that the Interviewee Took:
- Spent a lot of time trying the same techniques repeatedly
- Asked a few colleagues for help but did not follow up consistently

Final Result:
- Bug remained unresolved for an extended period
- Eventually, the issue was escalated to a senior developer who fixed it","Yes, I had a problem like that. As a Junior Software Developer, I was assigned to fix a recurring bug in a legacy system. The usual debugging techniques and tools didn't work, and I had limited understanding of the legacy codebase. I spent a lot of time trying the same techniques repeatedly and asked a few colleagues for help but didn't follow up consistently. The bug remained unresolved for a long time. Eventually, the issue was escalated to a senior developer who fixed it.","Certainly! So, in my role as a Junior Software Developer, I was assigned to fix a recurring bug in a legacy system. Initially, I tried the usual debugging techniques and tools, but they weren't effective. With a limited understanding of the legacy codebase, I spent a lot of time repeating the same methods. I did ask a few colleagues for help, but I didn't follow up consistently. The bug remained unresolved for quite a while. Eventually, the issue was escalated to a senior developer who managed to fix it. Have you ever faced a similar situation where you had to rely on someone more experienced to solve a problem?",1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,No,No,No,No,No,No,No,No,No,No,No,No
hiring,Creativity,Generates innovative solutions in work situations; tries different and novel ways to deal with work problems and opportunities.,Describe a positive change in your organization resulting from one of your original ideas.,"Interviewee's Role:
- Junior Marketing Associate

The Situation:
- Company was experiencing low engagement on social media platforms.

The Interviewee's Challenge:
- Limited experience in social media strategy.
- Tight budget for marketing initiatives.

Action(s) that the Interviewee Took:
- Suggested increasing the number of posts per week.
- Proposed using more hashtags to increase visibility.

Final Result:
- Slight increase in social media followers.
- Minimal impact on overall engagement and sales.","I was a Junior Marketing Associate. Our company had low engagement on social media. I had limited experience in social media strategy and we had a tight budget. I suggested we increase the number of posts per week and use more hashtags to boost visibility. This led to a slight increase in followers, but the overall engagement and sales impact was minimal.","""In my role as a Junior Marketing Associate, I noticed our company was struggling with low engagement on social media. Despite my limited experience and a tight budget, I suggested we increase the number of posts per week and use more hashtags to boost visibility. It was a small change, but we saw a slight increase in followers. While it didn't drastically impact overall engagement and sales, it was a step in the right direction. Have you ever tried something similar in your work? It's interesting how small adjustments can sometimes lead to positive outcomes, isn't it?""",2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,3,3,2,3,2,3,No,No,No,No,No,No,No,No,No,No,No,No
hiring,Creativity,Generates innovative solutions in work situations; tries different and novel ways to deal with work problems and opportunities.,How do you do things differently now than you did five (5) years ago?,"Interviewee's Role:
- Junior Marketing Coordinator

The Situation:
- Recently started in the marketing field with limited experience.

The Interviewee's Challenge:
- Struggled with time management and prioritizing tasks.
- Relied heavily on senior team members for guidance.

Action(s) that the Interviewee Took:
- Continued to follow the same processes without seeking improvements.
- Rarely took initiative to learn new tools or techniques.

Final Result:
- Progressed slowly in the role with minimal growth in responsibilities.
- Still dependent on others for decision-making and problem-solving.","Five years ago, I was a Junior Marketing Coordinator with limited experience. I struggled with time management and prioritizing tasks. I relied heavily on senior team members for guidance and followed the same processes without seeking improvements. I rarely took the initiative to learn new tools or techniques. As a result, my progress was slow, and I had minimal growth in responsibilities. I was still dependent on others for decision-making and problem-solving. Now, I focus on improving my skills, taking initiative, and managing my time better. I make decisions more independently and prioritize tasks effectively. This has led to faster progress and more responsibilities.","""Five years ago, I was a Junior Marketing Coordinator, just starting out with limited experience. I struggled with time management and prioritizing tasks, often relying heavily on senior team members for guidance. I continued to follow the same processes without seeking improvements and rarely took the initiative to learn new tools or techniques. As a result, my progress was slow, and I had minimal growth in responsibilities, still dependent on others for decision-making and problem-solving. Now, I focus on continuous learning and taking initiative. How about you? Have you found that your approach to work has evolved over the years?""",3,3,2,2,2,2,2,2,2,2,2,2,4,4,4,3,3,3,4,3,5,4,4,4,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes
hiring,Creativity,Generates innovative solutions in work situations; tries different and novel ways to deal with work problems and opportunities.,What is the most unusual approach you undertook to resolve a problem?,"Interviewee's Role:
- Junior Marketing Analyst

The Situation:
- A sudden drop in website traffic was noticed over a two-week period.

The Interviewee's Challenge:
- Identify the cause of the traffic drop and implement a solution to restore normal traffic levels.

Action(s) that the Interviewee Took:
- Decided to change the website's color scheme to make it more visually appealing.
- Implemented the change without consulting the team or conducting user research.

Final Result:
- The traffic did not improve and some users reported that the new color scheme was hard to read.
- Had to revert the changes and eventually found that the issue was due to a technical glitch in the website's code.","I was a Junior Marketing Analyst when we noticed a sudden drop in website traffic over two weeks. My challenge was to identify the cause and fix it. I decided to change the website's color scheme to make it more visually appealing. I did this without consulting the team or conducting user research. The traffic didn't improve, and some users said the new colors were hard to read. We had to revert the changes. Eventually, we found out the issue was a technical glitch in the website's code.","""Well, as a Junior Marketing Analyst, I once faced a sudden drop in website traffic over a two-week period. It was quite puzzling. I thought, why not try something different? So, I decided to change the website's color scheme to make it more visually appealing. I didn't consult the team or conduct user research, thinking it might be a quick fix. Unfortunately, the traffic didn't improve, and some users found the new colors hard to read. We had to revert the changes. Eventually, we discovered the issue was a technical glitch in the website's code. Have you ever tried something unconventional that didn't go as planned?""",2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,No,No,No,No,No,No,No,No,No,No,No,No
hiring,Decision Making,"Identifies and understands opportunities, issues, and problems; uses effective approaches for
choosing a course of action or developing appropriate solutions and/or reaching conclusions; takes action
consistent with available facts, constraints, and probable consequences.",Explain how you adjust your daily routine when priorities change.,"Interviewee's Role:
- Junior Marketing Coordinator

The Situation:
- A sudden request from the sales team to create a new marketing campaign

The Interviewee's Challenge:
- Balancing the new request with existing tasks and deadlines

Action(s) that the Interviewee Took:
- Attempted to work on both the new campaign and existing tasks simultaneously
- Did not communicate with the manager about the change in priorities

Final Result:
- Missed the deadline for the new marketing campaign
- Existing tasks were completed with lower quality due to divided attention","When priorities change, I adjust my daily routine by trying to handle both the new and existing tasks at the same time. For example, as a Junior Marketing Coordinator, I once got a sudden request from the sales team to create a new marketing campaign. I tried to work on both the new campaign and my existing tasks without telling my manager about the change in priorities. This led to missing the deadline for the new campaign and the quality of my existing tasks suffered. Now, I know it's better to communicate with my manager to prioritize tasks effectively.","""Well, as a Junior Marketing Coordinator, I once faced a situation where the sales team suddenly requested a new marketing campaign. I tried to juggle both the new campaign and my existing tasks at the same time. Have you ever been in a situation where you had to balance multiple priorities? I didn't communicate with my manager about the shift in priorities, which was a mistake. Unfortunately, I missed the deadline for the new campaign, and the quality of my existing tasks suffered. It was a learning experience for me. How do you handle sudden changes in priorities?""",3,2,2,1,2,2,2,2,3,2,2,2,3,2,3,2,3,2,3,3,4,2,3,2,No,No,Yes,No,Yes,No,No,No,No,No,No,No
